PLAN_ID,CREDITOS,MEDIA,CURSO_INICIO,NOTA_PAU_FISICA,NOTA_PAU_MATEMATICAS II,NOTA_PAU_CALIFICACION,PLAN_DESC,NOTA_FUNDAMENTOS DE PROGRAMACIÓN,NOTA_ONDAS ELECTROMAGNÉTICAS,NOTA_SISTEMAS Y CIRCUITOS,NOTA_TEORÍA DE LA COMUNICACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,MATRICS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,MATRICS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,MATRICS_TOTALES_ONDAS ELECTROMAGNÉTICAS,MATRICS_TOTALES_SISTEMAS Y CIRCUITOS,MATRICS_TOTALES_TEORÍA DE LA COMUNICACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_ONDAS ELECTROMAGNÉTICAS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_SISTEMAS Y CIRCUITOS,CONVOCS_HASTA_PRESENTARSE_1RA_VEZ_TEORÍA DE LA COMUNICACIÓN,CONVOCS_TOTALES_FUNDAMENTOS DE PROGRAMACIÓN,CONVOCS_TOTALES_ONDAS ELECTROMAGNÉTICAS,CONVOCS_TOTALES_SISTEMAS Y CIRCUITOS,CONVOCS_TOTALES_TEORÍA DE LA COMUNICACIÓN
5041,234.0,8.810897435897436,2010-11,9.6,9.8,9.34,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.6,7.0,7.3,9.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
5041,222.0,7.472972972972972,2010-11,2.3,9.25,7.43,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.0,5.5,5.3,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0
5041,228.0,8.051315789473684,2010-11,8.7,7.25,8.1,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.9,5.5,10.0,7.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
5041,222.0,8.67364864864865,2010-11,9.8,9.0,9.15,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.0,6.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
5041,240.0,7.425,2010-11,4.1,9.0,7.97,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.4,6.3,7.1,7.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0
5041,228.0,8.045394736842104,2010-11,8.9,9.5,9.27,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.3,8.2,9.0,9.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0
5041,126.0,6.536904761904761,2010-11,1.2,,7.92,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),5.4,,6.2,5.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0
5041,228.0,9.070394736842106,2010-11,,9.75,9.66,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),8.4,9.0,9.0,9.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5041,216.0,6.871527777777779,2010-11,,6.3,7.83,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),6.1,5.6,6.5,5.8,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,6.0,1.0,1.0
5041,228.0,9.088815789473685,2010-11,6.2,9.75,9.09,GRADO EN INGENIERÍA EN SISTEMAS DE TELECOMUNICACIÓN (BOE 20-04-2011),9.3,7.5,8.1,9.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
